Date,Open,High,Low,Close,Adj Close,Volume
2023-02-06,10.500000,10.500000,10.310000,10.320000,10.262666,31300
2023-02-07,10.340000,10.500000,10.290000,10.500000,10.441667,25200
2023-02-08,10.470000,10.498000,10.240000,10.270000,10.212945,12500
2023-02-09,10.390000,10.430000,10.140000,10.170000,10.113500,26200
2023-02-10,9.960000,10.030000,9.899000,9.940000,9.884777,50500
2023-02-13,10.000000,10.030000,9.963000,10.010000,9.954389,6200
2023-02-14,9.900000,10.090000,9.880000,10.090000,10.033944,6200
2023-02-15,10.180000,10.370000,10.180000,10.370000,10.312388,93900
2023-02-16,10.140000,10.370000,10.100000,10.270000,10.212945,9200
2023-02-17,9.970000,10.050000,9.960000,10.030000,9.974277,20000
2023-02-21,9.740000,9.800000,9.610000,9.630000,9.576500,76600
2023-02-22,9.630000,9.670000,9.570000,9.570000,9.516833,9600
2023-02-23,9.840000,9.840000,9.670000,9.740000,9.685888,20400
2023-02-24,9.550000,9.590000,9.470000,9.552000,9.498933,8100
2023-02-27,9.850000,9.865000,9.750000,9.813000,9.758483,33500
2023-02-28,9.780000,9.835000,9.750000,9.750000,9.695833,16000
2023-03-01,10.100000,10.190000,10.035000,10.099000,10.042894,43400
2023-03-02,9.830000,9.840000,9.620000,9.730000,9.675943,13200
2023-03-03,9.625000,9.625000,9.468000,9.580000,9.526777,28400
2023-03-06,9.665000,9.715000,9.640000,9.665000,9.611305,14400
2023-03-07,9.590000,9.590000,9.375000,9.395000,9.342806,17300
2023-03-08,9.120000,9.360000,9.120000,9.320000,9.268222,6700
2023-03-09,9.280000,9.290000,9.080000,9.100000,9.049445,15900
2023-03-10,8.910000,8.910000,8.670000,8.670000,8.621833,73400
2023-03-13,8.000000,8.390000,7.930000,8.290000,8.243944,18200
2023-03-14,8.334000,8.489000,8.313000,8.420000,8.373222,85500
2023-03-15,7.740000,7.880000,7.710000,7.875000,7.831250,19300
2023-03-16,7.880000,7.960000,7.690000,7.960000,7.915778,20700
2023-03-17,7.750000,7.750000,7.570000,7.620000,7.577666,27100
2023-03-20,7.628000,7.886000,7.628000,7.870000,7.826278,6900
2023-03-21,8.180000,8.285000,8.065000,8.220000,8.174334,62400
2023-03-22,8.420000,8.570000,8.360000,8.508000,8.460733,8200
2023-03-23,8.900000,9.013000,8.830000,8.860000,8.810778,32200
2023-03-24,8.750000,8.780000,8.530000,8.640000,8.592000,8500
2023-03-27,9.000000,9.000000,8.883000,8.920000,8.870444,19200
2023-03-28,9.100000,9.180000,9.090000,9.167000,9.116072,15500
2023-03-29,9.486000,9.486000,9.360000,9.450000,9.397500,48100
2023-03-30,9.710000,9.800000,9.710000,9.734000,9.679922,7500
2023-03-31,9.695000,9.695000,9.590000,9.620000,9.566555,7600
2023-04-03,9.650000,9.650000,9.490000,9.580000,9.526777,16600
2023-04-04,9.520000,9.550000,9.390000,9.410000,9.357722,26400
2023-04-05,8.870000,8.910000,8.760000,8.840000,8.790889,11700
2023-04-06,8.790000,9.010000,8.790000,8.940000,8.890333,18400
2023-04-10,8.940000,9.020000,8.850000,8.850000,8.800834,27900
2023-04-11,9.160000,9.250000,9.160000,9.240000,9.188666,7900
2023-04-12,9.280000,9.300000,9.150000,9.250000,9.198611,8500
2023-04-13,9.450000,9.510000,9.450000,9.493000,9.440261,16000
2023-04-14,9.628000,9.628000,9.515000,9.550000,9.496944,5500
2023-04-17,9.670000,9.750000,9.670000,9.745000,9.690861,11000
2023-04-18,10.034000,10.034000,9.850000,9.890000,9.835055,4000
2023-04-19,10.110000,10.442000,10.040000,10.350000,10.292500,17300
2023-04-20,10.160000,10.350000,10.160000,10.270000,10.212945,12000
2023-04-21,9.760000,9.940000,9.748000,9.920000,9.864889,80200
2023-04-24,9.990000,9.990000,9.890000,9.970000,9.914611,30900
2023-04-25,9.930000,9.970000,9.840000,9.840000,9.785334,9900
2023-04-26,9.818000,9.875000,9.790000,9.820000,9.765444,16700
2023-04-27,9.950000,9.975000,9.880000,9.970000,9.914611,42500
2023-04-28,10.143000,10.300000,10.143000,10.255000,10.198028,32800
2023-05-01,10.230000,10.300000,10.160000,10.210000,10.153277,7300
2023-05-02,10.530000,10.575000,10.477000,10.575000,10.516250,10700
2023-05-03,10.470000,10.550000,10.430000,10.430000,10.372056,8800
2023-05-04,10.300000,10.310000,10.120000,10.159000,10.102561,7300
2023-05-05,10.350000,10.410000,10.290000,10.375000,10.317361,27400
2023-05-08,9.930000,10.130000,9.930000,10.080000,10.024000,3900
2023-05-09,9.870000,10.020000,9.860000,10.010000,9.954389,8600
2023-05-10,9.700000,9.700000,9.520000,9.600000,9.546667,34800
2023-05-11,9.590000,9.630000,9.540000,9.540000,9.487000,58300
2023-05-12,9.335000,9.370000,9.220000,9.220000,9.168777,717900
2023-05-15,9.240000,9.300000,9.210000,9.235000,9.183694,393000
2023-05-16,9.165000,9.194000,9.120000,9.150000,9.099166,37000
2023-05-17,9.300000,9.400000,9.215000,9.360000,9.308000,71900
2023-05-18,9.326000,9.394000,9.310000,9.360000,9.360000,243700
2023-05-19,9.584000,9.600000,9.500000,9.510000,9.510000,849900
2023-05-22,9.430000,9.450000,9.405000,9.440000,9.440000,220400
2023-05-23,9.340000,9.340000,9.170000,9.170000,9.170000,25100
2023-05-24,9.040000,9.040000,8.834000,8.940000,8.940000,9700
2023-05-25,8.860000,8.860000,8.740000,8.780000,8.780000,9600
2023-05-26,9.006000,9.040000,8.975000,9.011000,9.011000,5200
2023-05-30,8.908000,8.908000,8.780000,8.850000,8.850000,16400
